Price,Open,High,Low,Close,Volume
Ticker,EWC,EWC,EWC,EWC,EWC
Date,,,,,
2010-01-04,19.13375002194461,19.16215874534644,19.005907379968672,19.119544982910156,3007500
2010-01-05,19.23318246026675,19.29710378083734,19.084033615380093,19.2260799407959,3820400
2010-01-06,19.28289559112002,19.439148284613314,19.2544868725456,19.375226974487305,1980800
2010-01-07,19.37522922465409,19.382331743789265,19.098236397050172,19.311307907104492,1626000
2010-01-08,19.2544885462728,19.41073989868164,19.176362192734892,19.41073989868164,1922700
2010-01-11,19.524374439171595,19.630909497094546,19.26158805327277,19.353918075561523,2971500
2010-01-12,19.17636198726202,19.17636198726202,18.89226800653227,19.01300811767578,2179400
2010-01-13,19.098230825890006,19.22607342369613,18.86385318146765,19.20476722717285,2033600
2010-01-14,19.2615909576416,19.29710219741491,19.11954328921443,19.2615909576416,1630700
2010-01-15,19.211870961937095,19.226075997965665,18.9277770146996,18.977493286132812,1993300
2010-01-19,19.03431151206328,19.055619065475323,18.92067393653256,18.99880027770996,2454100
2010-01-20,18.586865034768785,18.67919506338009,18.395101104575865,18.5655574798584,3543500
2010-01-21,18.565550360727478,18.6081654542071,18.16781897091532,18.182024002075195,4676400
2010-01-22,18.075495655882907,18.139416965052384,17.76299162823957,17.812707901000977,5439700
2010-01-25,17.93344868052805,17.961858754420472,17.798503538872794,17.862424850463867,2767300
2010-01-26,17.64224919426108,17.947650663299683,17.54281666189192,17.80560302734375,2111200
2010-01-27,17.770097064005068,17.784302102745375,17.55702554690166,17.720380783081055,2301300
2010-01-28,17.85532221163215,17.905038485941883,17.45048814406216,17.535717010498047,3288600
2010-01-29,17.62804703836094,17.762992179088712,17.27292924514765,17.358158111572266,6228500
2010-02-01,17.400777616091464,17.755895526623945,17.400777616091464,17.684871673583984,3687900
2010-02-02,17.841120881780377,17.983167205013,17.699073203880697,17.897939682006836,2645700
2010-02-03,17.86243035866795,18.011580583262592,17.777202820042984,17.81981658935547,2404900
2010-02-04,17.64935791855872,17.64935791855872,17.237421255014112,17.2800350189209,3742700
2010-02-05,17.258724877674048,17.43628378116727,16.981733421718047,17.407875061035156,4285900
2010-02-08,17.493107937825286,17.59254187543201,17.201911355216524,17.22321891784668,1722500
2010-02-09,17.450493164915326,17.70617848312185,17.343958067218363,17.564130783081055,2398400
2010-02-10,17.585436187278127,17.762995113214295,17.45049102425985,17.699073791503906,4487100
2010-02-11,17.74879067492314,18.132318618170206,17.656460626363923,18.10390853881836,2152100
2010-02-12,17.95475823794821,18.167828397231727,17.876631880699634,18.11100959777832,3792200
2010-02-16,18.38089394899537,18.558452822112148,18.359587751208043,18.52294158935547,2413300
2010-02-17,18.537147970280873,18.686296784288434,18.494534216945397,18.54425048828125,3487700
2010-02-18,18.586873928556823,18.799944160947025,18.572668885152808,18.764432907104492,3968800
2010-02-19,18.57976285090252,18.878061851683075,18.57976285090252,18.778629302978516,4204300
2010-02-22,18.87805765094639,18.92777391423583,18.615269946130898,18.664987564086914,2202700
2010-02-23,18.593969140365594,18.608174178185145,18.146519931718483,18.196237564086914,4846700
2010-02-24,18.238848973117523,18.395100305001403,18.160722629842187,18.267257690429688,2547100
2010-02-25,17.897934926858245,18.359587725379054,17.81980858930343,18.345382690429688,3616900
2010-02-26,18.366697082316534,18.47323217477534,18.224649389259994,18.40220832824707,3795900
2010-03-01,18.558455295608596,18.792832985174254,18.53004657655024,18.778629302978516,3630900
2010-03-02,18.977497646736666,19.140852889267045,18.927781363879767,19.05562400817871,2997000
2010-03-03,19.140856890575158,19.297108291455782,19.076935555063223,19.197675704956055,3743800
2010-03-04,19.233180099593035,19.26869133792158,19.0485186800174,19.140850067138672,2789400
2010-03-05,19.325508567217195,19.48886377243523,19.27579229571611,19.432044982910156,3127100
2010-03-08,19.54568470677983,19.61670854014658,19.432047115259817,19.474660873413086,2653600
2010-03-09,19.38232871140907,19.531477525912337,19.346816121289148,19.432044982910156,4431900
2010-03-10,19.453352869824286,19.6096055705727,19.361022836836792,19.467557907104492,4470000
2010-03-11,19.396537970845646,19.559893223041374,19.297105399248654,19.538585662841797,2131400
2010-03-12,19.701933124323748,19.794264500359436,19.623806783780744,19.66642189025879,3208500
2010-03-15,19.68773393874904,19.72324653803279,19.460458722001654,19.638017654418945,1442400
2010-03-16,19.780063285518054,19.950519680354795,19.744550689926857,19.922109603881836,2795000
2010-03-17,20.021547317504883,20.12097989470124,19.986034715172426,20.021547317504883,4228600
2010-03-18,20.014443946239084,20.078365273052995,19.765861159148,19.829782485961914,2731700
2010-03-19,19.69483184814453,19.957619602658372,19.60250182095508,19.69483184814453,2065700
2010-03-22,19.446252678475304,19.687732922471014,19.346820114947803,19.6522216796875,2777300
2010-03-23,19.659326066013882,19.85109004645562,19.652223545849314,19.829782485961914,2923500
2010-03-24,19.694835238441033,19.694835238441033,19.488867594024317,19.510173797607422,2777900
2010-03-25,19.71614312665463,19.801370651747522,19.517276643659404,19.545686721801758,4065000
2010-03-26,19.574093652982416,19.645117487167948,19.34681846732229,19.517274856567383,3354100
2010-03-29,19.652223452294916,19.765861065052633,19.5883021257853,19.758758544921875,2720200
2010-03-30,19.787168274296924,19.872395805019142,19.71614442891696,19.82267951965332,2531400
2010-03-31,19.843987079667464,19.943419650399107,19.709041908912244,19.82267951965332,3158100
2010-04-01,20.071264567589118,20.19200471196884,19.950524423209398,20.18490219116211,2359200
2010-04-05,20.298532266646298,20.36955609363576,20.234610957822465,20.334043502807617,2595900
2010-04-06,20.35535835582766,20.454790936464903,20.2630282959027,20.319847106933594,3796000
2010-04-07,20.334045524267086,20.341148043138798,20.071259099348676,20.149385452270508,3496400
2010-04-08,20.06415569393849,20.27722583200736,19.772959206399815,20.21330451965332,4509600
