Date,Open,High,Low,Close,Volume
2010-01-04,11.513768150670254,11.665651639082688,11.503968974772459,11.621556282043457,4967500
2010-01-05,11.660753833029627,11.709748785504742,11.57256403997561,11.655855178833008,5501300
2010-01-06,11.660755391556366,11.75384572025104,11.646057558000075,11.699951171875,5656500
2010-01-07,11.646055221557617,11.660753052165214,11.567663676647333,11.646055221557617,3127300
2010-01-08,11.680353653588629,11.793041404271893,11.631358694965133,11.783242225646973,3014200
2010-01-11,11.935126458879457,11.940026048096698,11.807739942734475,11.900830268859863,5566400
2010-01-12,11.587260713467446,11.675451432208147,11.484372164603894,11.508869171142578,6107200
2010-01-13,11.601957260327632,11.695047549481643,11.50396738390228,11.685248374938965,4210100
2010-01-14,11.778344579277531,11.84203737679057,11.744047451153847,11.83223819732666,4347300
2010-01-15,11.704850051543904,11.729347996820898,11.538267761664578,11.58236312866211,4217500
2010-01-19,11.577462804380408,11.773442616146436,11.533368374684153,11.753844261169434,3202100
2010-01-20,11.47457535122614,11.484374529659986,11.317792234288982,11.405982971191406,4879900
2010-01-21,11.391285514831543,11.425581708796866,11.023824691772461,11.023824691772461,9086100
2010-01-22,11.023821152149297,11.077715687933425,10.798445701599121,10.798445701599121,6838800
2010-01-25,10.999326842354552,11.018924265489341,10.89643733376825,10.9650297164917,4901500
2010-01-26,10.778847867683108,10.925831782987501,10.720053740860786,10.769048690795898,6995700
2010-01-27,10.666159120375118,10.754349834952539,10.543672224462222,10.720052719116211,6399900
2010-01-28,10.896433040393955,10.901332627872415,10.577967330300082,10.622062683105469,4108800
2010-01-29,10.60246663309433,10.671059938171384,10.323196627747722,10.337895393371582,11208800
2010-02-01,10.426086813716125,10.587769508361816,10.401588869375248,10.587769508361816,6584200
2010-02-02,10.56816934759285,10.700455420932885,10.509376160220075,10.661259651184082,5981400
2010-02-03,10.60736511891598,10.651460476702537,10.50937616177986,10.528973579406738,5006300
2010-02-04,10.372195889572177,10.391793317381484,10.014534187914842,10.029232025146484,7085700
2010-02-05,10.029228102619987,10.117418829523011,9.813651808524803,10.088022232055664,11707300
2010-02-08,10.137016898849728,10.22030803474703,10.009630400742031,10.024328231811523,5037900
2010-02-09,10.279101611022105,10.445683889023499,10.17621305169824,10.318297386169434,5574900
2010-02-10,10.254603385925293,10.313396574423653,10.09292071580348,10.254603385925293,6618500
2010-02-11,10.406486609772163,10.612264633178711,10.332994658805722,10.612264633178711,5278800
2010-02-12,10.323196932379938,10.475080443637982,10.259504148465593,10.42608642578125,9460900
2010-02-16,10.710258799922908,10.857242760535259,10.671063014792866,10.847443580627441,3777700
2010-02-17,11.004225497262404,11.02382385489832,10.911136101995185,10.9650297164917,6785900
2010-02-18,10.901335886304762,11.058118994475272,10.901335886304762,11.048319816589355,3988600
2010-02-19,10.87683991063346,11.004225497262404,10.827844951044797,10.9650297164917,4593200
2010-02-22,11.146311919028175,11.151211508934926,11.053221579802322,11.112015724182129,4884000
2010-02-23,11.131610565476592,11.161008098093452,10.847440958353982,10.886636734008789,5147600
2010-02-24,10.818042367231618,10.955228024000254,10.783746186664667,10.945428848266602,4680000
2010-02-25,10.484881435104874,10.710257881144647,10.430987819237593,10.690659523010254,8232300
2010-02-26,10.813147385451307,10.901338135619211,10.70045962001509,10.847443580627441,6337000
2010-03-01,11.028724233306452,11.156110763549805,10.994428039491163,11.156110763549805,5769700
2010-03-02,11.229597825955471,11.31288894640958,11.195301647150977,11.214899063110352,5385200
2010-03-03,11.327589233276841,11.420678606984556,11.293292115357202,11.342287063598633,3270100
2010-03-04,11.342286794078536,11.35698555855196,11.229599069951616,11.278594017028809,3726100
2010-03-05,11.445181010018528,11.577466206987802,11.420683059097348,11.567667961120605,3570200
2010-03-08,11.567662902545218,11.582360732169244,11.503969192504883,11.503969192504883,4780600
2010-03-09,11.484371557477717,11.68524999087828,11.484371557477717,11.621556282043457,6434000
2010-03-10,11.650956913463578,11.739146716534286,11.582363598407118,11.660755157470703,4436700
2010-03-11,11.592160078387248,11.631355848794692,11.523567713799439,11.626456260681152,3077000
2010-03-12,11.680350402929381,11.68524999087828,11.582360512953125,11.621556282043457,2974600
2010-03-15,11.499070167541504,11.528467697230806,11.405980793694784,11.499070167541504,4209400
