Date,Open,High,Low,Close,Volume
2010-01-04,41.45103205953699,41.85877664231476,41.26017563922843,41.39030456542969,12508700
2010-01-05,41.61587005610623,42.23182229474442,41.15607187975055,41.78937530517578,13787800
2010-01-06,42.44003684916255,43.437708741265695,42.25785432224317,42.804405212402344,19322600
2010-01-07,42.80439085838827,42.83041597939206,42.11903399048921,42.5961799621582,13312000
2010-01-08,42.95187340939472,43.238162994384766,42.18844113488817,43.238162994384766,10719800
2010-01-11,44.244515412533254,44.38332160302008,43.298897205654065,43.52445602416992,12918100
2010-01-12,42.92584651224126,43.2641863282234,41.58983512298873,41.945526123046875,14794800
2010-01-13,42.162419286660004,42.47473404290796,41.20812713981404,42.38798141479492,9377500
2010-01-14,42.3185795690165,42.448711829517386,41.65925094566746,42.16242218017578,8445500
2010-01-15,41.65924715125658,41.71130071259596,40.817732777973,41.13872146606445,14184100
2010-01-19,41.06931783747519,41.477062439394096,41.01726427891095,41.372955322265625,8578100
2010-01-20,40.47938882201905,40.644220118876184,38.90914129528445,39.672576904296875,21228000
2010-01-21,39.308215866851555,39.611853367554225,37.92882793191554,37.95485305786133,24757600
2010-01-22,37.56446332133272,38.84842150838833,37.26082579072529,37.989559173583984,26244900
2010-01-25,38.5621339830366,38.64021267556796,37.41698203217727,37.469032287597656,17791100
2010-01-26,37.03525745755504,38.0502803220192,36.6969176058671,37.41697692871094,17133300
2010-01-27,37.25214397153605,37.51240846229993,36.28050068339243,37.10466384887695,18111200
2010-01-28,37.41697734878061,37.50372996988982,35.7079235758464,36.584136962890625,28262300
2010-01-29,36.43665953940342,36.87042929582489,35.16137539651611,35.326210021972656,22948500
2010-02-01,35.78599600958134,37.26081347670465,35.7426197066012,37.25213623046875,18770400
2010-02-02,37.75532016456994,37.91147754233071,37.026586838153214,37.30419921875,19421400
2010-02-03,37.321545739335136,37.83339412256894,36.87909878787191,36.93115234375,13517700
2010-02-04,36.1330166218899,36.21976923642069,34.74495162359659,34.909786224365234,25283400
2010-02-05,34.8577416581393,36.792354583740234,34.25046327163563,36.792354583740234,33034700
2010-02-08,36.662215741769366,36.87910060451135,35.369583813091324,35.378257751464844,18173900
2010-02-09,36.228444231696756,37.39962441845216,36.08096412080915,36.93115234375,24227600
2010-02-10,36.93982856608812,37.10465985769467,35.92480576573167,36.740291595458984,15919300
2010-02-11,36.9485064577578,38.37127067053187,36.714270401840054,38.163063049316406,18114400
2010-02-12,37.43433615261602,38.11968994140625,37.000566339998926,38.11968994140625,16589900
2010-02-16,39.18676337576516,39.23881694478639,38.66624092315705,38.961204528808594,15964000
2010-02-17,38.95252382757361,39.334240005937275,38.458026590606856,38.787689208984375,14755100
2010-02-18,38.70093804085358,39.52510123660014,38.70093804085358,39.091331481933594,15184500
2010-02-19,38.544781871834296,39.689933795273745,38.35392211479415,38.666236877441406,15114000
2010-02-22,39.02192263250816,39.04794775604542,38.06763059627271,38.249813079833984,12299900
2010-02-23,38.11101178424022,38.2584919156986,36.60149154722732,36.87042999267578,15431400
